TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,01-SEP-2023,NSE,Buy,CASH,200,110.27,22145,,22.05,69.24
TRADE,30-AUG-2023,NSE,Buy,CASH,20,110.79,2225,,2.22,6.95
TRADE,30-AUG-2023,NSE,Buy,CASH,5,110.79,556,,0.55,1.73
TRADE,30-AUG-2023,NSE,Buy,CASH,75,110.79,8344,,8.31,26.07
TRADE,29-AUG-2023,NSE,Buy,CASH,150,110.48,16641,,16.57,51.99
TRADE,14-AUG-2023,NSE,Buy,CASH,100,110.5,11096,,11.05,34.66
TRADE,11-AUG-2023,NSE,Buy,CASH,70,111.49,7843,,7.8,30.95
TRADE,10-AUG-2023,NSE,Buy,CASH,80,113,9080,,9.04,31.19
TRADE,07-AUG-2023,NSE,Buy,CASH,100,115.47,11595,,11.55,36.22
CORPORATE ACTION,02-AUG-2023,DIV,Buy,CASH,2500,3,7500,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 02-AUG-2023,0,0
TRADE,04-JUL-2023,NSE,Buy,CASH,100,115.5,11598,,11.55,36.24
TRADE,22-JUN-2023,NSE,Buy,CASH,90,115.15,10406,,10.36,32.5
TRADE,20-JUN-2023,NSE,Buy,CASH,70,115.26,8107,,8.07,31
TRADE,16-JUN-2023,NSE,Buy,CASH,1,115.8,116,,0.12,0.36
TRADE,16-JUN-2023,NSE,Buy,CASH,19,115.8,2209,,2.2,6.9
TRADE,16-JUN-2023,NSE,Buy,CASH,60,115.8,6979,,6.95,23.97
TRADE,14-JUN-2023,NSE,Buy,CASH,85,116.51,9945,,9.9,31.35
CORPORATE ACTION,31-MAY-2023,DIV,Buy,CASH,2000,3,6000,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 31-MAY-2023,0,0
TRADE,31-MAY-2023,NSE,Buy,CASH,75,116.05,8744,,8.7,31.13
TRADE,29-MAY-2023,NSE,Buy,CASH,78,120.08,9405,,9.37,29.38
TRADE,29-MAY-2023,NSE,Buy,CASH,72,120.08,8682,,8.65,27.12
TRADE,26-MAY-2023,NSE,Buy,CASH,50,122.5,6162,,6.12,30.64
TRADE,15-MAY-2023,NSE,Buy,CASH,13,123.05,1606,,1.6,5.02
TRADE,15-MAY-2023,NSE,Buy,CASH,62,123.05,7663,,7.63,26.2
TRADE,11-MAY-2023,NSE,Buy,CASH,11,123,1359,,1.35,4.24
TRADE,11-MAY-2023,NSE,Buy,CASH,64,123,7907,,7.87,26.98
TRADE,21-APR-2023,NSE,Buy,CASH,50,121.9,6132,,6.09,30.64
TRADE,14-MAR-2023,NSE,Buy,CASH,62,116.98,7283,,7.25,22.77
TRADE,14-MAR-2023,NSE,Buy,CASH,8,116.98,945,,0.94,8.29
TRADE,10-MAR-2023,NSE,Buy,CASH,49,117.39,5785,,5.75,27.13
TRADE,10-MAR-2023,NSE,Buy,CASH,1,117.39,121,,0.12,3.48
TRADE,08-MAR-2023,NSE,Buy,CASH,50,118.7,5972,,5.96,30.64
TRADE,08-MAR-2023,NSE,Buy,CASH,50,119.5,6012,,5.96,30.65
TRADE,16-FEB-2023,NSE,Buy,CASH,65,120,7839,,7.8,30.98
TRADE,16-FEB-2023,NSE,Buy,CASH,100,120.05,12055,,12,37.67
TRADE,03-FEB-2023,NSE,Buy,CASH,50,115.2,5796,,5.84,30.59
TRADE,03-FEB-2023,NSE,Buy,CASH,50,118.6,5967,,5.84,30.64
TRADE,02-FEB-2023,NSE,Buy,CASH,100,122.5,12301,,12.25,38.47
CORPORATE ACTION,30-JAN-2023,DIV,Buy,CASH,1015,3,3045,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 30-JAN-2023,0,0
TRADE,24-JAN-2023,NSE,Buy,CASH,80,128,10282,,10.24,32.15
TRADE,12-DEC-2022,NSE,Buy,CASH,27,128.67,3488,,3.47,10.9
TRADE,12-DEC-2022,NSE,Buy,CASH,7,128.67,904,,0.9,2.84
TRADE,12-DEC-2022,NSE,Buy,CASH,26,128.67,3366,,3.35,17.22
TRADE,28-NOV-2022,NSE,Buy,CASH,50,127.32,6403,,6.37,30.7
TRADE,23-NOV-2022,NSE,Buy,CASH,64,128.98,8290,,8.25,26.87
TRADE,23-NOV-2022,NSE,Buy,CASH,11,128.98,1425,,1.42,4.46
CORPORATE ACTION,14-NOV-2022,DIV,Buy,CASH,750,3,2250,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 14-NOV-2022,0,0
TRADE,04-NOV-2022,NSE,Buy,CASH,10,133.65,1342,,1.34,4.19
TRADE,04-NOV-2022,NSE,Buy,CASH,4,133.65,537,,0.53,1.68
TRADE,04-NOV-2022,NSE,Buy,CASH,7,133.65,939,,0.94,2.94
TRADE,04-NOV-2022,NSE,Buy,CASH,63,133.65,8455,,8.42,26.44
TRADE,04-NOV-2022,NSE,Buy,CASH,126,133.65,16910,,16.84,52.89
TRADE,04-NOV-2022,NSE,Buy,CASH,1,133.65,134,,0.13,0.41
TRADE,04-NOV-2022,NSE,Buy,CASH,2,133.65,268,,0.27,0.84
TRADE,04-NOV-2022,NSE,Buy,CASH,29,133.65,3892,,3.88,12.16
TRADE,04-NOV-2022,NSE,Buy,CASH,286,133.65,38382,,38.22,120.03
TRADE,04-NOV-2022,NSE,Buy,CASH,40,133.65,5368,,5.35,16.8
TRADE,04-NOV-2022,NSE,Buy,CASH,116,133.65,15568,,15.5,48.69
TRADE,04-NOV-2022,NSE,Buy,CASH,58,133.65,7784,,7.75,24.35
TRADE,04-NOV-2022,NSE,Buy,CASH,8,133.65,1074,,1.07,3.36
TRADE,19-AUG-2022,NSE,Sell,CASH,446,138.4,61480,,61.73,184.51
TRADE,19-AUG-2022,NSE,Sell,CASH,2,138.38,276,,0.28,0.82
TRADE,19-AUG-2022,NSE,Sell,CASH,2,138.38,276,,0.28,0.82
TRADE,02-AUG-2022,NSE,Buy,CASH,150,132.7,19988,,19.91,62.52
CORPORATE ACTION,01-AUG-2022,DIV,Buy,CASH,300,3,900,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 01-AUG-2022,0,0
TRADE,20-JUL-2022,NSE,Buy,CASH,300,131.5,39613,,39.45,123.84
TRADE,12-JAN-2022,NSE,Sell,CASH,845,129.5,108991,,109.44,327.2
TRADE,12-JAN-2022,NSE,Sell,CASH,200,129.55,25807,,25.9,77.49
TRADE,15-NOV-2021,NSE,Buy,CASH,28,120.45,3387,,3.37,10.59
TRADE,15-NOV-2021,NSE,Buy,CASH,10,120.45,1210,,1.2,4.5
TRADE,15-NOV-2021,NSE,Buy,CASH,3,120.45,363,,0.36,1.12
TRADE,15-NOV-2021,NSE,Buy,CASH,4,120.45,497,,0.48,14.31
CORPORATE ACTION,12-NOV-2021,DIV,Buy,CASH,1000,4.5,4500,Interim-Dividend of Rs.4.5000/- per share on Ex-Date: 12-NOV-2021,0,0
TRADE,06-SEP-2021,NSE,Buy,CASH,2,119.5,240,,0.24,0.76
TRADE,06-SEP-2021,NSE,Buy,CASH,227,119.5,27239,,27.13,85.21
TRADE,06-SEP-2021,NSE,Buy,CASH,131,119.5,15719,,15.65,49.17
TRADE,06-SEP-2021,NSE,Buy,CASH,3,119.5,360,,0.36,1.12
TRADE,06-SEP-2021,NSE,Buy,CASH,13,119.5,1560,,1.55,4.87
TRADE,06-SEP-2021,NSE,Buy,CASH,61,119.5,7320,,7.29,22.88
TRADE,06-SEP-2021,NSE,Buy,CASH,16,119.5,1920,,1.91,6
TRADE,06-SEP-2021,NSE,Buy,CASH,547,119.5,65637,,65.37,205.3
